raw_specialty,processed_specialties,is_junk,specialty_count
ADOLESCENT MEDICINE (FAMILY MEDICINE),adolescent medicineicine family medicineicine,False,1
GERONTOLOGY - CLINICAL NURSE SPECIALIST,gerontology - clinical nurse specialist,False,1
LACTATION CONSULTANT (NON-NURSE),lactation consultant non-nurse,False,1
OTOLARYNGOLOGY - 207Y00000X,otolaryngology - 207y00000x,False,1
ORTHOPAEDIC SURGERY - 207X00000X,orthopedicaedic surgeryery - 207x00000x,False,1
OCCUPATIONAL THERAPIST - PEDIATRICS,,True,0
ORAL AND MAXILLOFACIAL PATHOLOGY,oral maxillofacial pathology,False,1
RETINA SPECIALIST - OPHTHALMOLOGY,,True,0
REGISTERED NURSE - PLASTIC SURGERY,registered nurse - plastic surgeryery,False,1
CLINIC/CENTER - CORF/COMPREHENSIVE REHAB - 261QR0401X,- corf comprehensive rehab - 261qr0401x,False,1
ALLERGY & IMMUNOLOGY - INTERNAL MEDICINE,,True,0
SURGERY - PLASTIC AND RECONSTRUCTIVE SURGERY,surgeryery - plastic reconstructive surgeryery,False,1
HOSPICE AND PALLIATIVE MEDICINE - PEDIATRICS,hospice palliative medicineicine - pediatrics,False,1
SOCIAL WORKER - CLINICAL - 1041C0700X,social worker - clinical - 1041c0700x,False,1
PREVENTIVE/OCCUPATIONAL ENVIRONMENTAL MEDICINE,,True,0
ADULT FOSTER CARE HOME - 311ZA0620X,adult foster care home - 311za0620x,False,1
CHIROPRACTOR - PEDIATRIC,chiropractor - pediatric,False,1
DIAGNOSTIC NEUROIMAGING (PSYCHIATRY & NEUROLOGY),diagnostic neuroimaging psychiatry neurology,False,1
CRITICAL CARE MEDICINE - NURSE PRACTITIONER,critical care medicineicine - nurse practitioner,False,1
PROSTHETIC/ORTHOTIC SUPPLIER,prosthetic orthotic supplier,False,1
PREVENTIVE MEDICINE,preventive medicineicine,False,1
PAIN MEDICINE - PAIN MEDICINE,pain medicineicine - pain medicineicine,False,1
END-STAGE RENAL DISEASE (ESRD) TREATMENT,,True,0
MEDICAL GENETICS - MD,medicineical genetics -,False,1
PATHOLOGY - IMMUNOLOGY - 246QI0000X,pathology - immunology - 246qi0000x,False,1
CRITICAL CARE,critical care,False,1
ADDICTION MEDICINE - 2083A0300X,addiction medicineicine - 2083a0300x,False,1
PHARMACY - HOME INFUSION THERAPY,pharmacy - home infusion therapy,False,1
RADIOLOGY - BODY IMAGING - 2085B0100X,radiology - body imaging - 2085b0100x,False,1
SLEEP MEDICINE - OTOLARYNGOLOGY,sleep medicineicine - otolaryngology,False,1
PEDIATRIC TRANSPLANT HEPATOLOGY,pediatric transplant hepatology,False,1
BEHAVIORAL ANALYST - 103K00000X,,True,0
PSYCHIATRY/NEUROLOGY-PAIN MEDICINE,psychiatry neurology-pain medicineicine,False,1
SPORTS PHYSICIAN CHIROPRACTOR,,True,0
DME & Medical Supplies,dme medicineical supplies,False,1
PEDIATRICS - OCCUPATIONAL THERAPIST,,True,0
GASTROENTEROLOGY - INTERNAL MEDICINE,,True,0
RESIDENTIAL TREATMENT - PHYSICAL DISABILITIES,residential treatment - physical disabilities,False,1
ACUTE CARE - CLINICAL NURSE SPECIALIST,acute care - clinical nurse specialist,False,1
PSYCHIATRIC/MENTAL HEALTH - NURSE PRACTITIONER,psychiatric mental health - nurse practitioner,False,1
DENTIST - PEDIATRIC DENTISTRY,dentist - pediatric dentistry,False,1
CLINICAL NURSE SPECIALIST - NEUROSCIENCE,clinical nurse specialist - neuroscience,False,1
MAMMOGRAPHYCLINIC/CENTER,mammographyclinic,False,1
GASTROENTEROLOGY - REGISTERED NURSE,gastroenterology - registered nurse,False,1
NURSE SPECIALIST - PSYCHIATRIC,nurse specialist - psychiatric,False,1
CLINIC/CENTER-OCCUPATIONAL MEDICINE,,True,0
CRITICAL CARE NEONATAL NURSE PRACTITIONER,,True,0
HOSPITAL - PSYCHIATRIC - 283Q00000X,- psychiatric - 283q00000x,False,1
SPORTS MEDICINE (ORTHOPEDIC SURGERY),sports medicineicine orthopedicedic surgeryery,False,1
FAMILY MEDICINE - SLEEP MEDICINE,family medicineicine - sleep medicineicine,False,1
END-STAGE RENAL DISEASE CLINIC - DIALYSIS,,True,0
DIAGNOSTIC NEUROIMAGING - PSYCHIATRY & NEUROLOGY,diagnostic neuroimaging - psychiatry neurology,False,1
CRITICAL CARE MEDICINE - OBSTETRICS & GYNECOLOGY,critical care medicineicine - obstetrics gynecology,False,1
FAMILY PLANNING CENTER - NON-SURGICAL,family planning - non-surgeryical,False,1
REGISTERED NURSE - DIABETES EDUCATOR,registered nurse - diabetes educator,False,1
NEPHROLOGY - REGISTERED NURSE,nephrology - registered nurse,False,1
DENTIST - PERIODONTIST,dentist - periodontist,False,1
REGISTERED NURSE CRITICAL CARE MEDICINE,registered nurse critical care medicineicine,False,1
DENTIST-PERIODONTIST,dentist-periodontist,False,1
MEDICAL SPECIALTY CLINIC/CENTER,medicineical specialty,False,1
OPTOMETRIST - 152W00000X,optometrist - 152w00000x,False,1
REHABILITATION- COMPREHENSIVE OUTPATIENT REHAB FAC (CORF),rehabilitation- comprehensive outpatient rehab fac corf,False,1
GERONTOLOGY OCCUPATIONAL THERAPIST,,True,0
REGISTERED NURSE LACTATION CONSULTANT,registered nurse lactation consultant,False,1
INTERNAL MEDICINE - BARIATRIC MEDICINE - 207RB0002X,,True,0
UROLOGY - FEMALE PELVIC MED & RECON SURGERY - 2088F0040X,urology - female pelvic medicine recon surgeryery - 2088f0040x,False,1
PRIVATE VEHICLE - 347C00000X,private vehicle - 347c00000x,False,1
HEARING AND SPEECH CLINIC/CENTER,hearing speech,False,1
CLINICAL NURSE SPECIALIST - GERONTOLOGY,clinical nurse specialist - gerontology,False,1
RADIOLOGY MAMMOGRAPHY CLINIC/CENTER,radiology mammography,False,1
AUDIOLOGIST - 231H00000X,audiologist - 231h00000x,False,1
SPORTS MEDICINE (EMERGENCY MEDICINE),sports medicineicine emergency medicineicine,False,1
GERIATRIC MEDICINE (INTERNAL MEDICINE),,True,0
HOME INFUSION THERAPY PHARMACY,home infusion therapy pharmacy,False,1
ADULT PSYCHIATRIC/MENTAL HEALTH REGISTERED NURSE,adult psychiatric mental health registered nurse,False,1
EMERGENCY MEDICINE-EMERGENCY MEDICAL SERVICES,emergency medicineicine-emergency medicineical services,False,1
UNDERSEA & PALLIATIVE MEDICINE - EMERGENCY MEDICINE,undersea palliative medicineicine - emergency medicineicine,False,1
INTERVENTIONAL PAIN MEDICINE,,True,0
MEDICAL GENETICS - PHD (NON-PHYSICIAN),,True,0
HOSPITAL UNIT - REHABILITATION - SUBSTANCE USE DISORDER,- rehabilitation - substance use disorder,False,1
PAIN MEDICINE - PSYCHIATRY & NEUROLOGY,pain medicineicine - psychiatry neurology,False,1
GENERAL ACUTE CARE HOSPITAL/ CHILDREN,,True,0
GENERAL ACUTE CARE HOSPITAL/CHILDREN,,True,0
SPORTS MEDICINE - 204C00000X,sports medicineicine - 204c00000x,False,1
TECHNOLOGIST - PATHOLOGY,technologist - pathology,False,1
REGISTERED NURSE - CRITICAL CARE MEDICINE,registered nurse - critical care medicineicine,False,1
SUBSTANCE USE DISORDER REHABILITATION CLINIC,substance use disorder rehabilitation,False,1
ASSISTED LIVING - MENTAL ILLNESS,assisted living - mental illness,False,1
SKILLED NURSING FACILITY/INTERMEDIATE CARE,skilled nursing facility intermedicineiate care,False,1
PSYCHIATRIC RESIDENTIAL TREATMENT FACILITY,psychiatric residential treatment facility,False,1
RADIOLOGYCLINIC/CENTER,radiologyclinic,False,1
NURSE PRACTITIONER - NEONATAL CRITICAL CARE,,True,0
RESIDENTIAL TREATMENT - SUBSTANCE USE DISORDER - CHILDREN,,True,0
SPORTS MEDICINE (FAMILY MEDICINE),sports medicineicine family medicineicine,False,1
PAIN MEDICINE - ANESTHESIOLOGY,pain medicineicine - anesthesiology,False,1
PUBLIC HEALTH - STATE OR LOCAL CLINIC/CENTER,public health - state or local,False,1
Psychiatry & Neurology,psychiatry neurology,False,1
ALLERGY & IMMUNOLOGY (INTERNAL MEDICINE),,True,0
Pediatric Hepatology,pediatric hepatology,False,1
MENTAL HEALTH CLINIC - INCLUDING COMMUNITY MENTAL HEALTH,mental health - including community mental health,False,1
TRANSPLANT HEPATOLOGY - INTERNAL MEDICINE,,True,0
EMERGENCY MEDICINE PEDIATRIC EMERGENCY MEDICINE,emergency medicineicine pediatric emergency medicineicine,False,1
NURSE PRACTITIONER - FAMILY - 363LF0000X,nurse practitioner - family - 363lf0000x,False,1
REGISTERED NURSE - LACTATION CONSULTANT,registered nurse - lactation consultant,False,1
SPORTS MEDICINE - INTERNAL MEDICINE,,True,0
AMBULANCE - WATER TRANSPORT - 3416S0300X,ambulance - water transport - 3416s0300x,False,1
SPECIALIST/TECHNOLOGIST,specialist technologist,False,1
CRITICAL CARE MEDICINE - ANESTHESIOLOGY,critical care medicineicine - anesthesiology,False,1
ORTHOPAEDIC SURGERY - FOOT & ANKLE,orthopedicaedic surgeryery - foot ankle,False,1
CRITICAL CARE MEDICINE REGISTERED NURSE,critical care medicineicine registered nurse,False,1
CRITICAL CARE MEDICINE (INTERNAL MEDICINE),,True,0
TRANSPLANT HEPATOLOGY - PEDIATRIC,transplant hepatology - pediatric,False,1
OBESITY AND WEIGHT MANAGEMENT NUTRITION REGISTERED DIETITIAN,,True,0
PSYCHOLOGIST - ADDICTION/SUBSTANCE USE,psychologist - addiction substance use,False,1
DENTIST - PROSTHODONTICS,dentist - prosthodontics,False,1
PHARMACY - LONG TERM CARE,pharmacy - long term care,False,1
PEDIATRICS - ENDOCRINOLOGY - 2080P0205X,pediatrics - endocrinology - 2080p0205x,False,1
COMMUNITY BASED RESIDENTIAL TRTMNT - MENTAL ILLNESS,community based residential trtmnt - mental illness,False,1
PODIATRIST - FOOT & ANKLE SURGERY,podiatrist - foot ankle surgeryery,False,1
MEDICALLY FRAGILE INFANTS & CHILDREN DAY CARE CLINIC,,True,0
MEDICAL GENETICS CLINICAL BIOCHEMICAL GENETICS,medicineical genetics clinical biochemical genetics,False,1
PAIN MEDICINE (PSYCHIATRY & NEUROLOGY),pain medicineicine psychiatry neurology,False,1
OPHTHALMIC PLASTIC AND RECONSTRUCTIVE SURGERY,ophthalmic plastic reconstructive surgeryery,False,1
DENTIST - PERIODONTICS,dentist - periodontics,False,1
PSYCHIATRIC RESIDENTIAL TREATMENT CENTER,psychiatric residential treatment,False,1
ANATOMIC PATHOLOGY & CLINICAL PATHOLOGY,,True,0
NEUROMUSCULOSKELETAL MEDICINE & OMM PHYSICIAN,,True,0
CRITICAL CARE MEDICINE - REGISTERED NURSE,critical care medicineicine - registered nurse,False,1
OTOLOGY & NEUROTOLOGY,otology neurotology,False,1
DURABLE MEDICAL EQUIPMENT - OXYGEN/RESPIRATORY,durable medicineical equipment - oxygen respiratory,False,1
OPHTHALMOLOGIC SURGERY CLINIC/CENTER,ophthalmologic surgeryery,False,1
MULTI-SPECIALTY CLINIC/CENTER,multi-specialty,False,1
SLEEP MEDICINE - FAMILY MEDICINE,sleep medicineicine - family medicineicine,False,1
BRAIN INJURY MEDICINE - PSYCHIATRY & NEUROLOGY,brain injury medicineicine - psychiatry neurology,False,1
PHARMACY - COMPOUNDING,pharmacy - compounding,False,1
PHD MEDICAL GENETICS,phd medicineical genetics,False,1
PSYCHIATRIC/MENTAL HEALTH CLINICAL NURSE SPECIALIST,psychiatric mental health clinical nurse specialist,False,1
NEPHROLOGY (SPECIALIST),nephrology specialist,False,1
PHYSICAL THERAPIST - 225100000X,physical therapist - 225100000x,False,1
RESIDENTIAL TREATMENT FACILITY - EMOTIONALLY DISTURBED CHILD,,True,0
INTERMEDIATE CARE FACILITY MENTAL ILLNESS,intermedicineiate care facility mental illness,False,1
PEDIATRICS - CARDIOLOGY - 2080P0202X,pediatrics - cardiology - 2080p0202x,False,1
DENTIST - 122300000X,dentist - 122300000x,False,1
INTERMEDIATE CARE FACILITY - NURSING,intermedicineiate care facility - nursing,False,1
ADDICTION MEDICINE - FAMILY MEDICINE,addiction medicineicine - family medicineicine,False,1
CLINICAL NURSE SPECIALIST-PSYCHIATRIC/MENTAL HEALTH,clinical nurse specialist-psychiatric mental health,False,1
NEUROMUSCULOSKELETAL MEDICINE- SPORTS MEDICINE,neuromusculoskeletal medicineicine- sports medicineicine,False,1
MOLECULAR GENETIC PATHOLOGY - MEDICAL GENETICS,molecular genetic pathology - medicineical genetics,False,1
SPEECH/LANGUAGE/HEARING SPECIALIST/TECHNOLOGIST,speech language hearing specialist technologist,False,1
TRANSPLANT HEPATOLOGY (INTERNAL MEDICINE),,True,0
AGENCY - IN HOME SUPPORTIVE CARE - 253Z00000X,agency - in home supportive care - 253z00000x,False,1
PEDIATRIC EMERGENCY MEDICINE (PEDIATRICS),pediatric emergency medicineicine pediatrics,False,1
SLEEP MEDICINE (FAMILY MEDICINE),sleep medicineicine family medicineicine,False,1
PAIN MEDICINE (ANESTHESIOLOGY),pain medicineicine anesthesiology,False,1
OPTOMETRIST - LOW VISION REHABILITATION,optometrist - low vision rehabilitation,False,1
LABORATORY - CLINICAL MEDICAL - 291U00000X,laboratory - clinical medicineical - 291u00000x,False,1
ORAL & MAXILLOFACIAL PATHOLOGY,oral maxillofacial pathology,False,1
OCCUPATIONAL THERAPIST - GERONTOLOGY,,True,0
ORTHOPAEDIC SURGERY - SURGERY OF THE SPINE - 207XS0117X,orthopedicaedic surgeryery - surgeryery of the spine - 207xs0117x,False,1
FOOT AND ANKLE SURGERY - ORTHOPAEDIC SURGERY,foot ankle surgeryery - orthopedicaedic surgeryery,False,1
PEDIATRIC EMERGENCY MEDICINE - EMERGENCY MEDICINE,pediatric emergency medicineicine - emergency medicineicine,False,1
END-STAGE RENAL DISEASE (ESRD) CLINIC,,True,0
NEUROMUSCULOSKELETAL MEDICINE & OMM,neuromusculoskeletal medicineicine omm,False,1
GERONTOLOGY - OCCUPATIONAL THERAPIST,,True,0
ADOLESCENT AND CHILDREN MENTAL HEALTH CLINIC/CENTER,,True,0
ADULT PSYCHIATRIC/MENTAL HEALTH CLINICAL NURSE SPECIALIST,adult psychiatric mental health clinical nurse specialist,False,1
DENTIST - ANESTHESIOLOGY,dentist - anesthesiology,False,1
OBSTERICS & GYN - PELVIC MED & RECON SURGERY - 207VF0040X,obsterics gynecology - pelvic medicine recon surgeryery - 207vf0040x,False,1
NON-EMERGENCY MEDICAL TRANSPORT (VAN),non-emergency medicineical transport van,False,1
CRITICAL CARE MEDICINE (ANESTHESIOLOGY),critical care medicineicine anesthesiology,False,1
SPEECH-LANGUAGE PATHOLOGIST,speech-language pathologist,False,1
COMMUNITY BASED RESIDENTIAL TREATMENT FAC - MENTAL ILLNESS,community based residential treatment fac - mental illness,False,1
SPORTS MEDICINE - NEUROMUSCULOSKELETAL MEDICINE,sports medicineicine - neuromusculoskeletal medicineicine,False,1
DIPLOMATE LABORATORY MANAGEMENT SPECIALIST/TECHNOLOGIST,,True,0
FAMILY PLANNING- NON-SURGICAL CLINIC/CENTER,family planning- non-surgeryical,False,1
MULTI-SPECIALTY GROUP - 193200000X,multi-specialty group - 193200000x,False,1
PROGRAM OF ALL-INCLUSIVE CARE FOR THE ELDERLY (PACE) AGENCY,of all-inclusive care for the elderly pace agency,False,1
PSYCHOLOGIST - DEVELOPMENTAL DISABILITIES,psychologist - developmental disabilities,False,1
HOSPICE AND PALLIATIVE MEDICINE Ã¢â‚¬â€œ FAMILY MEDICINE,hospice palliative medicineicine ã â â œ family medicineicine,False,1
COLON & RECTAL SURGERY - 208C00000X,colon rectal surgeryery - 208c00000x,False,1
ALLERGY & IMMUNOLOGY - 207K00000X,allergy immunology - 207k00000x,False,1
CERTIFIED NURSE - 367A00000X,certified nurse - 367a00000x,False,1
ADULT DAY CARE CENTER - CLINIC/CENTER,adult day care -,False,1
PHYSICAL THERAPIST - HAND - 2251H1200X,physical therapist - hand - 2251h1200x,False,1
HOSPITAL UNIT - REHABILITATION - 273Y00000X,- rehabilitation - 273y00000x,False,1
UNDERSEA & HYPERBARIC MEDICINE (PREVENTIVE MEDICINE),undersea hyperbaric medicineicine preventive medicineicine,False,1
PEDIATRIC SURGERY - 2086S0120X,pediatric surgeryery - 2086s0120x,False,1
PEDIATRICS - INFECTIOUS DISEASES - 2080P0208X,pediatrics - infectious diseases - 2080p0208x,False,1
SLEEP MEDICINE - PSYCHIATRY & NEUROLOGY,sleep medicineicine - psychiatry neurology,False,1
Speech Language Pathologist,speech language pathologist,False,1
SPORTS MEDICINE - PSYCHIATRY & NEUROLOGY,sports medicineicine - psychiatry neurology,False,1
PSYCH/MENTAL HEALTH CHILD/ADOLESCENT - CLINICAL NURSE SPCLST,psychiatry mental health child adolescent - clinical nurse spclst,False,1
SURGICAL ONCOLOGY - 2086X0206X,surgeryical oncology - 2086x0206x,False,1
CERTIFIED REGISTERED NURSE ANESTHETIST,certified registered nurse anesthetist,False,1
REGISTERED NURSE - ADDICTION/SUBSTANCE ABUSE,registered nurse - addiction substance abuse,False,1
HOSPICE AND PALLIATIVE MEDICINE - FAMILY MEDICINE,hospice palliative medicineicine - family medicineicine,False,1
REGISTERED NURSE,registered nurse,False,1
SLEEP MEDICINE (PSYCHIATRY & NEUROLOGY),sleep medicineicine psychiatry neurology,False,1
PHYSICIAN ASSISTANT - SURGICAL - 363AS0400X,,True,0
HOSPICE & PALLIATIVE MEDICINE - FAMILY MEDICINE,hospice palliative medicineicine - family medicineicine,False,1
BEHAVIORAL NEUROLOGY & NEUROPSYCHIATRY,behavioral neurology neuropsychiatry,False,1
ADDICTION MEDICINE - INTERNAL MEDICINE,,True,0
CLINIC/CENTER - MAGNETIC RESONANCE IMAGING (MRI),,True,0
HOSPITAL UNIT - MEDICARE DEFINED SWING BED,- medicineicare defined swing bed,False,1
RESPITE CARE - CAMP,respite care - camp,False,1
NURSING FACILITY/INTERMEDIATE CARE FACILITY,nursing facility intermedicineiate care facility,False,1
OPHTHALMIC PLASTIC & RECONSTRUCTIVE SURGERY,ophthalmic plastic reconstructive surgeryery,False,1
AMBULANCE - AIR TRANSPORT - 3416A0800X,ambulance - air transport - 3416a0800x,False,1
SURGICAL CRITICAL CARE - 2086S0102X,surgeryical critical care - 2086s0102x,False,1
CHILD & FAMILY PSYCHIATRIC/MENTAL HEALTH CLINICAL NURSE,child family psychiatric mental health clinical nurse,False,1
PATHOLOGY,pathology,False,1
INTERMEDIATE CARE FACILITY - MENTAL ILLNESS,intermedicineiate care facility - mental illness,False,1
UNDERSEA & HYPERBARIC MEDICINE - PREVENTIVE MEDICINE,undersea hyperbaric medicineicine - preventive medicineicine,False,1
MEDICAL GENETICS - PHD,medicineical genetics - phd,False,1
SLEEP MEDICINE - INTERNAL MEDICINE,,True,0
DURABLE MEDICAL EQUIPMENT,durable medicineical equipment,False,1
SPORTS MEDICINE (INTERNAL MEDICINE),,True,0
ANESTHESIOLOGY (ADDICTION MEDICINE),anesthesiology addiction medicineicine,False,1
AMBULANCE - LAND TRANSPORT - 3416L0300X,ambulance - land transport - 3416l0300x,False,1
CERTIFIED REGISTERED NURSE ANESTHESTIST,certified registered nurse anesthestist,False,1
RESIDENTIAL TREATMENT FACILITY - SUBSTANCE ABUSE REHAB CHILD,residential treatment facility - substance abuse rehab child,False,1
ADDICTION MEDICINE (FAMILY MEDICINE),addiction medicineicine family medicineicine,False,1
ADDICTION MEDICINE - ANESTHESIOLOGY,addiction medicineicine - anesthesiology,False,1
RESPITE CARE,respite care,False,1
NURSE PRACTITIONER - PERINATAL - 363LP1700X,,True,0
PSYCHIATRIC/MENTAL HEALTH NURSE SPECIALIST,psychiatric mental health nurse specialist,False,1
RESIDENTIAL TREATMENT FACILITY - PSYCHIATRIC,residential treatment facility - psychiatric,False,1
COUNSELOR - PROFESSIONAL - 101YP2500X,,True,0
EYEWEAR SUPPLIER - 332H00000X,eyewear supplier - 332h00000x,False,1
CLINICAL NURSE SPECIALIST - CRITICAL CARE MEDICINE,clinical nurse specialist - critical care medicineicine,False,1
PSYCHIATRY & NEUROLOGY NEUROMUSCULAR MEDICINE,psychiatry neurology neuromuscular medicineicine,False,1
OXYGEN EQUIPMENT & SUPPLIES,oxygen equipment supplies,False,1
Medical Genetics-Molecular Genetic Pathology,medicineical genetics-molecular genetic pathology,False,1
LOCAL EDUCATION AGENCY (LEA),local education agency lea,False,1
UROGYNECOLOGY AND RECONSTRUCTIVE PELVIC SURGERY - UROLOGY,urogynecology reconstructive pelvic surgeryery - urology,False,1
OBSTETRICS & GYNECOLOGY - 207V00000X,obstetrics gynecology - 207v00000x,False,1
UROGYNECOLOGY AND RECONSTRUCTIVE PELVIC SURGERY Ã¢â‚¬â€œ UROLOGY,urogynecology reconstructive pelvic surgeryery ã â â œ urology,False,1
PEDIATRIC ANESTHESIOLOGY,pediatric anesthesiology,False,1
PSYCHIATRY & NEUROLOGY - NEURODVLPMNTL DISABLTS - 2084P0005X,psychiatry neurology - neurodvlpmntl disablts - 2084p0005x,False,1
PSYCHOLOGIST - FORENSIC - 103TF0200X,psychologist - forensic - 103tf0200x,False,1
PHYSICIAN ASSISTANT - MEDICAL - 363AM0700X,,True,0
PEDIATRICS - ADOLESCENT MEDICINE - 2080A0000X,pediatrics - adolescent medicineicine - 2080a0000x,False,1
PSYCHOSOMATIC MEDICINE - PSYCHIATRY & NEUROLOGY,psychosomatic medicineicine - psychiatry neurology,False,1
NEUROMUSCULAR MEDICINE - PSYCHIATRY & NEUROLOGY,neuromuscular medicineicine - psychiatry neurology,False,1
CRITICAL CARE MEDICINE - CLINICAL NURSE SPECIALIST,critical care medicineicine - clinical nurse specialist,False,1
PEDIATRIC EMERGENCY MEDICINE (EMERGENCY MEDICINE),pediatric emergency medicineicine emergency medicineicine,False,1
UNDERSEA AND HYPERBARIC MEDICINE - PREVENTIVE MEDICINE,undersea hyperbaric medicineicine - preventive medicineicine,False,1
AMBULATORY FERTILITY FACILITY - CLINIC/CENTER,ambulatory fertility facility -,False,1
PATHOLOGY - HEMATOLOGY - 207ZH0000X,pathology - hematology - 207zh0000x,False,1
ORTHOPAEDIC SURGERY - HAND SURGERY - 207XS0106X,orthopedicaedic surgeryery - surgeryery hand - 207xs0106x,False,1
HOSPITAL - REHABILITATION - 283X00000X,- rehabilitation - 283x00000x,False,1
HOSPICE AND PALLIATIVE MEDICINE Ã¢â‚¬â€œ INTERNAL MEDICINE,,True,0
OTHER SPECIALIST/TECHNOLOGIST,other specialist technologist,False,1
PUBLIC HEALTH & GENERAL PREVENTIVE MEDICINE,public health general preventive medicineicine,False,1
DEVELOPMENTAL DISABILITIES CLINIC/CENTER,developmental disabilities,False,1
PEDIATRICS - EMERGENCY MEDICINE - 2080P0204X,pediatrics - emergency medicineicine - 2080p0204x,False,1
CLINICAL NURSE SPECIALIST - PSYCH - 364SP0808X,clinical nurse specialist - psychiatry - 364sp0808x,False,1
NEUROMUSCULAR MEDICINE - PHYSICAL MEDICINE & REHABILITATION,neuromuscular medicineicine - physical medicineicine rehabilitation,False,1
CLINICAL NURSE SPECIALIST-COMMUNITY HEALTH/PUBLIC HEALTH,clinical nurse specialist- public health,False,1
RESPIRATORY THERAPIST CERTIFIED,respiratory therapist certified,False,1
SPORTS MEDICINE - PHYSICAL MEDICINE & REHABILITATION,sports medicineicine - physical medicineicine rehabilitation,False,1
RESIDENTIAL TREATMENT - DEVELOPMENTAL DISABILITIES,residential treatment - developmental disabilities,False,1
NUCLEAR MEDICINE - 207U00000X,nuclear medicineicine - 207u00000x,False,1
HOSPICE & PALLIATIVE MEDICINE - INTERNAL MEDICINE,,True,0
THORACIC SURGERY (CARDIOTHORACIC VASCULAR) - 208G00000X,thoracic surgeryery cardiothoracic vascular - 208g00000x,False,1
EMERGENCY MEDICINE - PEDIATRIC - 207PP0204X,emergency medicineicine - pediatric - 207pp0204x,False,1
HOSPICE & PALLIATIVE MEDICINE - EMERGENCY MEDICINE,hospice palliative medicineicine - emergency medicineicine,False,1
Substance Abuse Residential Treatment Center,substance abuse residential treatment,False,1
SLEEP DISORDER DIAGNOSTIC CENTER,sleep disorder diagnostic,False,1
HOSPICE & PALLIATIVE MEDICINE - PHYSICAL MEDICINE & REHAB,hospice palliative medicineicine - physical medicineicine rehab,False,1
CLINICAL NEUROPSYCHOLOGIST - 103G00000X,clinical neuropsychologist - 103g00000x,False,1
NEUROCRITICAL CARE - PSYCHIATRY & NEUROLOGY,neurocritical care - psychiatry neurology,False,1
PSYCHOLOGIST - HEALTH SERVICE - 103TH0100X,psychologist - health - 103th0100x,False,1
PHYSICAL MEDICINE & REHABILITATION PAIN MEDICINE,physical medicineicine rehabilitation pain medicineicine,False,1
SLEEP MEDICINE (INTERNAL MEDICINE),,True,0
TRANSPLANT HEPATOLOGY - PEDIATRICS,transplant hepatology - pediatrics,False,1
NEURODEVELOPMENTAL DISABILITIES - PSYCHIATRY & NEUROLOGY,neurodevelopmental disabilities - psychiatry neurology,False,1
COUNSELOR - MENTAL HEALTH - 101YM0800X,counselor - mental health - 101ym0800x,False,1
AMBULATORY FAMILY PLANNING FACILITY - CLINIC/CENTER,ambulatory family planning facility -,False,1
CHILD & ADOLESCENT PSYCHIATRIC/MNTL HEALTH REGISTERED NURSE,child adolescent psychiatric mntl health registered nurse,False,1
HOSPICE AND PALLIATIVE MEDICINE - PHYSICAL MEDICINE & REHAB,hospice palliative medicineicine - physical medicineicine rehab,False,1
DERMATOLOGY CLINICAL & LABORATORY DERMATOLOGICAL IMMUNOLOGY,dermatology clinical laboratory dermatological immunology,False,1
DEVELOPMENTAL DISABILITIES - CLINIC/CENTER,developmental disabilities -,False,1
CLINICAL NURSE SPECIALIST - 364S00000X,clinical nurse specialist - 364s00000x,False,1
Internal Medicine-Hospice & Palliative Medicine,,True,0
CLINIC/CENTER - REHABILITATION,- rehabilitation,False,1
NURSE PRACTITIONER - NEONATAL - 363LN0000X,,True,0
ADDICTION MEDICINE (INTERNAL MEDICINE),,True,0
HOSPICE AND PALLIATIVE MEDICINE - INTERNAL MEDICINE,,True,0
RESPIRATORY THERAPIST - CERTIFIED,respiratory therapist - certified,False,1
ADDICTION MEDICINE - PSYCHIATRY & NEUROLOGY,addiction medicineicine - psychiatry neurology,False,1
HOSPICE & PALLIATIVE MEDICINE - ANESTHESIOLOGY,hospice palliative medicineicine - anesthesiology,False,1
CORNEAL AND CONTACT MANAGEMENT OPTOMETRIST,,True,0
NEUROMUSCULAR MEDICINE (PSYCHIATRY & NEUROLOGY),neuromuscular medicineicine psychiatry neurology,False,1
UNDERSEA & HYPERBARIC MEDICINE - EMERGENCY MEDICINE,undersea hyperbaric medicineicine - emergency medicineicine,False,1
PAIN MEDICINE - PHYSICAL MEDICINE & REHABILITATION,pain medicineicine - physical medicineicine rehabilitation,False,1
DENTIST - ORAL AND MAXILLOFACIAL SURGERY,dentist - oral maxillofacial surgeryery,False,1
OPTOMETRIST - CORNEAL AND CONTACT MANAGEMENT,,True,0
OTOLARYNOLOGY - OTOLOGY & NEUROTOLOGY,otolarynology - otology neurotology,False,1
ALLERGY & IMMUNOLOGY - CLINICAL & LABORATORY IMMUNOLOGY,allergy immunology - clinical laboratory immunology,False,1
HOSPICE & PALLIATIVE MEDICINE - OBSTETRICS & GYNECOLOGY,hospice palliative medicineicine - obstetrics gynecology,False,1
ADDICTION MEDICINE (PSYCHIATRY & NEUROLOGY),addiction medicineicine psychiatry neurology,False,1
PSYCHOLOGIST - COGNITIVE & BEHAVIORAL - 103TB0200X,psychologist - cognitive behavioral - 103tb0200x,False,1
CLINIC/CENTER - DEVELOPMENTAL DISABILITIES,- developmental disabilities,False,1
NURSE ANESTHETIST- CERTIFIED REGISTERED,nurse anesthetist- certified registered,False,1
